مهندسی کامپيوتر صنعتی اميرکبير,99 آزمون کانون در3 سال,97 منطقه 2,327 کشور
مهندسی کامپيوتر صنعتی اميرکبير,68 آزمون کانون در3 سال,225 منطقه 1,336 کشور
مهندسی کامپيوتر دانشگاه تهران,69 آزمون کانون در4 سال,98 منطقه 2,338 کشور
مهندسی کامپيوتر صنعتی اميرکبير,46 آزمون کانون در2 سال,100 منطقه 2,340 کشور
مهندسی کامپيوتر صنعتی شريف,38 آزمون کانون در3 سال,15 منطقه 3,344 کشور
مهندسی کامپيوتر دانشگاه تهران,66 آزمون کانون در2 سال,106 منطقه 2,354 کشور
مهندسی برق دانشگاه تهران,10 آزمون کانون در1 سال,235 منطقه 1,358 کشور
مهندسی برق صنعتی شريف,22 آزمون کانون در1 سال,106 منطقه 2,366 کشور
مهندسی کامپيوتر صنعتی اميرکبير,13 آزمون کانون در1 سال,241 منطقه 1,367 کشور
مهندسی مکانيک صنعتی شريف,30 آزمون کانون در1 سال,110 منطقه 2,367 کشور
مهندسی کامپيوتر صنعتی اميرکبير,63 آزمون کانون در2 سال,112 منطقه 2,375 کشور
مهندسی برق دانشگاه تهران,51 آزمون کانون در3 سال,18 منطقه 3,379 کشور
مهندسی کامپيوتر دانشگاه تهران,61 آزمون کانون در1 سال,114 منطقه 2,381 کشور
مهندسی کامپيوتر صنعتی اميرکبير,41 آزمون کانون در2 سال,115 منطقه 2,384 کشور
علوم کامپيوتر صنعتی شريف,104 آزمون کانون در6 سال,19 منطقه 3,385 کشور
مهندسی کامپيوتر صنعتی اميرکبير,35 آزمون کانون در2 سال,252 منطقه 1,386 کشور
مهندسی کامپيوتر صنعتی اميرکبير,10 آزمون کانون در1 سال,253 منطقه 1,387 کشور
مهندسی کامپيوتر صنعتی اميرکبير,19 آزمون کانون در1 سال,255 منطقه 1,389 کشور
مهندسی صنايع و سيستم ها صنعتی شريف,21 آزمون کانون در3 سال,258 منطقه 1,394 کشور
مهندسی برق صنعتی شريف,150 آزمون کانون در3 سال,117 منطقه 2,395 کشور
مهندسی برق صنعتی شريف,36 آزمون کانون در2 سال,118 منطقه 2,396 کشور
مهندسی کامپيوتر صنعتی اميرکبير,29 آزمون کانون در3 سال,265 منطقه 1,406 کشور
مهندسی کامپيوتر صنعتی اميرکبير,24 آزمون کانون در2 سال,270 منطقه 1,411 کشور
مهندسی برق دانشگاه تهران,10 آزمون کانون در1 سال,124 منطقه 2,413 کشور
مهندسی برق صنعتی شريف,95 آزمون کانون در2 سال,125 منطقه 2,419 کشور
مهندسی برق دانشگاه تهران,18 آزمون کانون در1 سال,126 منطقه 2,423 کشور
رشته قبولی,"تعداد  آزمون ها(در مجموع چند سال)",رتبه در منطقه,رتبه کشوری
مهندسی برق صنعتی شريف,14 آزمون کانون در1 سال,113 منطقه 1,172 کشور
علوم کامپيوتر صنعتی شريف,80 آزمون کانون در5 سال,54 منطقه 2,180 کشور
مهندسی کامپيوتر صنعتی شريف,44 آزمون کانون در3 سال,55 منطقه 2,182 کشور
مهندسی برق صنعتی شريف,123 آزمون کانون در3 سال,57 منطقه 2,188 کشور
مهندسی برق صنعتی شريف,79 آزمون کانون در5 سال,57 منطقه 2,188 کشور
مهندسی مکانيک صنعتی شريف,28 آزمون کانون در1 سال,59 منطقه 2,193 کشور
مهندسی کامپيوتر دانشگاه تهران,22 آزمون کانون در2 سال,129 منطقه 1,194 کشور
مهندسی کامپيوتر صنعتی شريف,53 آزمون کانون در1 سال,7 منطقه 3,196 کشور
مهندسی کامپيوتر دانشگاه تهران,63 آزمون کانون در3 سال,132 منطقه 1,198 کشور
مهندسی شيمی صنعتی شريف,41 آزمون کانون در2 سال,134 منطقه 1,200 کشور
مهندسی کامپيوتر صنعتی اميرکبير,43 آزمون کانون در2 سال,60 منطقه 2,201 کشور
مهندسی برق صنعتی شريف,105 آزمون کانون در6 سال,135 منطقه 1,203 کشور
مهندسی برق صنعتی شريف,89 آزمون کانون در3 سال,62 منطقه 2,204 کشور
مهندسی برق صنعتی شريف,32 آزمون کانون در1 سال,137 منطقه 1,206 کشور
مهندسی کامپيوتر صنعتی شريف,40 آزمون کانون در2 سال,8 منطقه 3,210 کشور
مهندسی کامپيوتر دانشگاه تهران,85 آزمون کانون در5 سال,63 منطقه 2,211 کشور
مهندسی کامپيوتر دانشگاه تهران,22 آزمون کانون در2 سال,142 منطقه 1,213 کشور
مهندسی کامپيوتر دانشگاه تهران,29 آزمون کانون در1 سال,64 منطقه 2,218 کشور
مهندسی کامپيوتر صنعتی شريف,107 آزمون کانون در4 سال,66 منطقه 2,222 کشور
مهندسی کامپيوتر دانشگاه تهران,25 آزمون کانون در1 سال,150 منطقه 1,224 کشور
علوم کامپيوتر صنعتی شريف,139 آزمون کانون در3 سال,67 منطقه 2,228 کشور
مهندسی برق صنعتی شريف,69 آزمون کانون در3 سال,67 منطقه 2,228 کشور
مهندسی برق صنعتی شريف,81 آزمون کانون در2 سال,70 منطقه 2,235 کشور
مهندسی برق صنعتی شريف,32 آزمون کانون در2 سال,158 منطقه 1,236 کشور
مهندسی کامپيوتر دانشگاه تهران,22 آزمون کانون در1 سال,165 منطقه 1,244 کشور
مهندسی کامپيوتر دانشگاه تهران,59 آزمون کانون در3 سال,73 منطقه 2,247 کشور
مهندسی برق صنعتی شريف,40 آزمون کانون در2 سال,74 منطقه 2,250 کشور
علوم کامپيوتر دانشگاه تهران,76 آزمون کانون در7 سال,173 منطقه 1,257 کشور
مهندسی کامپيوتر دانشگاه تهران,144 آزمون کانون در7 سال,77 منطقه 2,258 کشور
مهندسی کامپيوتر دانشگاه تهران,12 آزمون کانون در1 سال,175 منطقه 1,260 کشور
مهندسی برق صنعتی شريف,122 آزمون کانون در4 سال,175 منطقه 1,260 کشور
مهندسی کامپيوتر دانشگاه تهران,90 آزمون کانون در3 سال,79 منطقه 2,266 کشور
مهندسی برق صنعتی شريف,55 آزمون کانون در2 سال,81 منطقه 2,272 کشور
مهندسی کامپيوتر دانشگاه تهران,36 آزمون کانون در3 سال,187 منطقه 1,277 کشور
مهندسی برق صنعتی شريف,82 آزمون کانون در5 سال,194 منطقه 1,286 کشور
مهندسی برق صنعتی شريف,89 آزمون کانون در4 سال,11 منطقه 3,286 کشور
مهندسی برق صنعتی شريف,22 آزمون کانون در1 سال,196 منطقه 1,289 کشور
مهندسی برق صنعتی شريف,25 آزمون کانون در1 سال,196 منطقه 1,289 کشور
رشته قبولی,"تعداد  آزمون ها(در مجموع چند سال)",رتبه در منطقه,رتبه کشوری
مهندسی برق دانشگاه تهران,49 آزمون کانون در3 سال,364 منطقه 1,557 کشور
